[Reporting] 327	88	0.57
[Reporting] 328	88	0.55
[Reporting] 329	88	0.55
[Reporting] 330	88	0.55
[Reporting] 331	88	0.54
[Reporting] 332	88	0.54
[Reporting] 333	88	0.54
[Reporting] 334	88	0.54
[Reporting] 335	88	0.54
[Reporting] 336	88	0.54
[Reporting] 337	88	0.54
[Reporting] 338	88	0.54
[Reporting] 339	88	0.54
[Reporting] 340	88	0.52
[Reporting] 341	88	0.52
[Reporting] 342	88	0.52
[Reporting] 343	88	0.52
[Reporting] 344	88	0.52
[Reporting] 345	88	0.52
[Reporting] 346	88	0.52
[Reporting] 347	88	0.52
[Reporting] 348	88	0.52
[Reporting] 349	88	0.52
[Reporting] 350	88	0.52
